1,Tyreek Hill (MIA),88,120,"1,324",15.0,69,43,10,3,19,0,1,11,192.3,17.5,100.0%
2,Keenan Allen (LAC),97,129,"1,117",11.5,42,23,7,2,6,0,1,11,158.3,14.4,99.4%
3,CeeDee Lamb (DAL),78,104,"1,066",13.7,49,28,6,7,54,1,1,11,154.0,14.0,100.0%
4,A.J. Brown (PHI),73,105,"1,050",14.4,59,29,7,0,0,0,0,11,147.0,13.4,100.0%
5,Stefon Diggs (BUF),83,121,969,11.7,55,17,8,0,0,0,1,12,144.9,12.1,100.0%
6,Mike Evans (TB),54,91,850,15.7,70,27,9,0,0,0,0,11,139.0,12.6,97.2%
7,Amon-Ra St. Brown (DET),82,109,993,12.1,46,20,5,3,13,0,1,10,128.6,12.9,100.0%
8,Ja'Marr Chase (CIN),75,112,914,12.2,64,21,6,3,-6,0,0,11,126.8,11.5,100.0%
9,DJ Moore (CHI),59,80,889,15.1,58,25,6,1,1,0,1,11,123.0,11.2,97.3%
10,Brandon Aiyuk (SF),45,65,881,19.6,76,28,5,0,0,0,0,10,118.1,11.8,97.7%
11,Tank Dell (HOU),47,75,709,15.1,68,17,7,11,51,0,0,10,118.0,11.8,89.0%
12,Puka Nacua (LAR),73,111,924,12.7,37,23,3,3,11,0,0,11,111.5,10.1,95.6%
13,Nico Collins (HOU),50,73,800,16.0,52,23,5,0,0,0,0,10,110.0,11.0,88.5%
14,Jordan Addison (MIN),48,72,647,13.5,62,17,7,1,2,0,0,11,106.9,9.7,91.8%
15,Davante Adams (LV),69,118,814,11.8,46,15,4,0,0,0,0,12,105.4,8.8,100.0%
16,DeVonta Smith (PHI),55,76,738,13.4,63,21,5,0,0,0,0,11,103.8,9.4,98.3%
17,Jakobi Meyers (LV),52,76,591,11.4,33,6,6,3,19,1,0,11,103.0,9.4,80.4%
18,Calvin Ridley (JAC),47,76,663,14.1,45,18,5,5,28,0,0,11,101.1,9.2,95.7%
19,Adam Thielen (CAR),77,100,728,9.5,31,9,4,1,6,0,0,11,99.4,9.0,95.3%
20,Michael Pittman Jr. (IND),76,111,784,10.3,75,13,3,0,0,0,0,11,98.4,8.9,94.9%
21,Courtland Sutton (DEN),48,68,560,11.7,33,14,8,0,0,0,3,11,98.0,8.9,84.0%
22,Jayden Reed (GB),36,59,497,13.8,46,17,5,7,81,1,0,11,95.8,8.7,39.8%
23,Gabe Davis (BUF),39,67,595,15.3,40,14,6,1,-2,0,1,12,95.3,7.9,81.9%
24,Chris Olave (NO),63,103,771,12.2,51,17,3,0,0,0,0,11,95.1,8.6,98.4%
25,DeAndre Hopkins (TEN),45,83,699,15.5,61,19,4,1,5,0,0,11,94.4,8.6,95.2%
26,Christian Kirk (JAC),56,84,761,13.6,57,22,3,1,6,0,2,11,90.7,8.2,91.6%
27,Amari Cooper (CLE),47,86,765,16.3,59,23,2,0,0,0,0,11,88.5,8.0,96.0%
28,Jaylen Waddle (MIA),52,75,691,13.3,35,13,3,2,10,0,0,10,88.1,8.8,99.4%
29,DK Metcalf (SEA),43,80,678,15.8,53,20,3,0,0,0,0,10,85.8,8.6,98.1%
30,George Pickens (PIT),40,73,662,16.6,71,23,3,2,15,0,0,11,85.7,7.8,84.1%
31,Romeo Doubs (GB),41,69,433,10.6,30,4,7,0,0,0,0,11,85.3,7.8,49.1%
32,Deebo Samuel (SF),34,49,474,13.9,42,16,1,26,138,3,0,9,85.2,9.5,97.9%
33,Zay Flowers (BAL),58,80,613,10.6,52,17,2,8,56,1,0,12,84.9,7.1,86.8%
34,Garrett Wilson (NYJ),64,113,695,10.9,68,15,3,1,6,0,2,11,84.1,7.6,98.0%
35,Marquise Brown (ARI),51,98,574,11.3,41,11,4,2,23,0,0,12,83.7,7.0,89.7%
36,Tyler Lockett (SEA),54,79,575,10.6,36,6,4,0,0,0,0,11,83.5,7.6,93.0%
37,Rashee Rice (KC),44,56,527,12.0,39,9,5,1,-3,0,0,11,82.4,7.5,59.6%
38,Terry McLaurin (WAS),60,97,694,11.6,36,14,2,0,0,0,0,12,81.4,6.8,94.0%
39,Rashid Shaheed (NO),33,55,534,16.2,58,25,3,6,33,0,1,11,78.7,7.2,43.5%
40,Justin Jefferson (MIN),36,53,571,15.9,52,23,3,0,0,0,1,5,73.1,14.6,99.4%
41,Brandin Cooks (DAL),33,48,452,13.7,37,12,4,3,23,0,0,10,71.5,7.2,59.0%
42,Tutu Atwell (LAR),36,60,467,13.0,44,15,3,4,35,0,0,11,70.2,6.4,25.7%
43,Chris Godwin (TB),53,82,606,11.4,42,12,1,1,14,0,0,11,70.0,6.4,91.8%
44,Drake London (ATL),45,68,565,12.6,32,12,2,0,0,0,0,10,69.4,6.9,84.3%
45,Josh Downs (IND),48,73,566,11.8,59,14,2,0,0,0,0,11,68.6,6.2,52.5%
46,Jahan Dotson (WAS),42,69,435,10.4,33,5,4,0,0,0,0,12,67.5,5.6,65.8%
47,Josh Reynolds (DET),27,41,438,16.2,33,15,4,0,0,0,1,11,65.8,6.0,14.4%
48,Curtis Samuel (WAS),47,63,443,9.4,37,7,2,4,20,1,0,11,64.3,5.8,31.7%
49,Kendrick Bourne (NE),37,55,406,11.0,36,7,4,1,4,0,1,8,63.0,7.9,6.5%
50,Tyler Boyd (CIN),50,72,462,9.2,64,7,2,1,6,0,0,11,58.8,5.3,60.5%
51,Michael Wilson (ARI),28,39,435,15.5,69,9,2,0,0,0,0,9,55.5,6.2,8.2%
52,Khalil Shakir (BUF),25,30,410,16.4,81,13,2,0,0,0,0,12,53.0,4.4,12.2%
53,Rondale Moore (ARI),28,45,254,9.1,48,6,1,23,156,1,0,12,53.0,4.4,25.9%
54,Christian Watson (GB),21,44,351,16.7,77,12,3,2,-4,0,0,8,52.7,6.6,67.9%
55,Jaxon Smith-Njigba (SEA),38,57,406,10.7,35,8,2,0,0,0,0,11,52.6,4.8,60.0%
56,Odell Beckham Jr. (BAL),27,47,408,15.1,51,13,2,0,0,0,1,10,50.8,5.1,51.5%
57,Michael Thomas (NO),39,64,448,11.5,31,5,1,0,0,0,0,10,50.8,5.1,52.5%
58,K.J. Osborn (MIN),33,51,384,11.6,36,7,2,0,0,0,0,10,50.4,5.0,30.7%
59,Jerry Jeudy (DEN),37,53,440,11.9,46,8,1,0,0,0,0,10,50.0,5.0,69.8%
60,Noah Brown (HOU),21,28,439,20.9,75,20,1,1,-1,0,0,5,49.8,10.0,41.3%
61,Darius Slayton (NYG),32,53,435,13.6,40,12,1,0,0,0,0,12,49.5,4.1,2.6%
62,Kalif Raymond (DET),26,34,372,14.3,41,11,1,5,58,0,0,11,49.0,4.5,1.2%
63,Cooper Kupp (LAR),27,51,393,14.6,49,11,1,0,0,0,0,7,47.3,6.8,99.8%
64,Nelson Agholor (BAL),20,28,282,14.1,37,6,3,0,0,0,0,12,46.2,3.9,0.8%
65,Nick Westbrook-Ikhine (TEN),24,36,281,11.7,33,6,3,0,0,0,0,11,46.1,4.2,0.8%
66,Elijah Moore (CLE),43,73,418,9.7,33,6,1,9,11,0,2,11,44.9,4.1,38.8%
67,Tee Higgins (CIN),27,51,328,12.1,33,4,2,0,0,0,0,7,44.8,6.4,91.7%
68,Diontae Johnson (PIT),30,55,385,12.8,39,7,1,0,0,0,0,7,44.5,6.4,83.7%
69,DJ Chark Jr. (CAR),20,38,263,13.2,47,6,3,0,0,0,0,9,44.3,4.9,17.7%
70,KaVontae Turpin (DAL),10,13,113,11.3,34,3,3,8,79,1,0,10,43.2,4.3,0.7%
71,Justin Watson (KC),20,39,332,16.6,37,9,2,0,0,0,1,10,43.2,4.3,3.0%
72,Demario Douglas (NE),36,55,410,11.4,42,8,0,4,29,0,1,10,41.9,4.2,33.9%
73,Michael Gallup (DAL),28,46,357,12.8,41,7,1,0,0,0,0,11,41.7,3.8,21.9%
74,Joshua Palmer (LAC),23,39,377,16.4,60,14,1,0,0,0,1,8,41.7,5.2,25.9%
75,Darnell Mooney (CHI),23,39,345,15.0,41,10,1,2,5,0,0,11,41.0,3.7,19.8%
76,Marvin Mims Jr. (DEN),15,21,282,18.8,60,15,1,6,10,0,1,11,39.2,3.6,6.3%
77,Robert Woods (HOU),30,57,326,10.9,26,2,1,0,0,0,0,9,38.6,4.3,9.0%
78,Dontayvion Wicks (GB),20,32,331,16.6,35,9,1,1,1,0,1,10,37.8,3.8,0.5%
79,Trey Palmer (TB),25,43,227,9.1,26,4,2,1,6,0,0,11,35.3,3.2,0.9%
80,Wan'Dale Robinson (NYG),36,45,265,7.4,22,2,1,6,27,0,0,10,35.2,3.5,8.6%
81,Allen Lazard (NYJ),20,41,290,14.5,39,6,1,0,0,0,0,10,35.0,3.5,13.0%
82,Jake Bobo (SEA),14,18,162,11.6,31,4,2,1,3,1,0,11,34.5,3.1,0.7%
83,Jalin Hyatt (NYG),17,28,330,19.4,58,16,0,0,0,0,0,12,33.0,2.8,2.4%
84,Skyy Moore (KC),20,35,239,12.0,54,6,1,3,23,0,0,11,32.2,2.9,21.1%
85,Chris Moore (TEN),12,20,280,23.3,49,13,0,2,39,0,0,11,31.9,2.9,0.1%
86,Rashod Bateman (BAL),22,36,236,10.7,29,2,1,1,18,0,0,11,31.4,2.9,11.2%
87,Mike Williams (LAC),19,26,249,13.1,49,7,1,1,3,0,0,3,31.2,10.4,19.8%
88,Jameson Williams (DET),12,23,184,15.3,45,8,2,0,0,0,0,7,30.4,4.3,18.4%
89,Brandon Johnson (DEN),8,13,122,15.3,50,5,3,0,0,0,0,7,30.2,4.3,0.1%
90,Alec Pierce (IND),22,39,291,13.2,38,7,0,0,0,0,0,11,29.1,2.6,1.3%
91,Cedrick Wilson Jr. (MIA),12,19,171,14.3,31,4,2,0,0,0,0,8,29.1,3.6,0.3%
92,Marquez Valdes-Scantling (KC),15,28,248,16.5,46,9,1,0,0,0,1,11,28.8,2.6,4.2%
93,Jonathan Mingo (CAR),28,57,286,10.2,40,6,0,0,0,0,0,10,28.6,2.9,6.3%
94,Brandon Powell (MIN),22,31,224,10.2,27,3,1,4,15,0,1,11,27.9,2.5,2.1%
95,Trenton Irwin (CIN),17,23,216,12.7,32,5,1,0,0,0,0,10,27.6,2.8,3.9%
96,Braxton Berrios (MIA),20,26,194,9.7,22,1,1,1,11,0,0,10,26.5,2.7,1.6%
97,Calvin Austin III (PIT),16,27,170,10.6,72,4,1,8,30,0,0,11,26.0,2.4,1.1%
98,Isaiah Hodgins (NYG),15,25,154,10.3,24,1,2,0,0,0,1,12,25.4,2.1,1.2%
99,Quentin Johnston (LAC),21,37,190,9.0,20,1,1,1,2,0,0,11,25.2,2.3,29.8%
100,Mack Hollins (ATL),17,29,247,14.5,45,5,0,0,0,0,0,9,24.7,2.7,0.4%
101,Olamide Zaccheaus (PHI),7,14,116,16.6,34,4,2,0,0,0,0,11,23.6,2.1,0.1%
102,Zay Jones (JAC),13,25,108,8.3,18,0,2,0,0,0,0,5,22.8,4.6,19.8%
103,Dyami Brown (WAS),11,21,168,15.3,35,4,1,1,0,0,0,12,22.8,1.9,0.1%
104,Tre Tucker (LV),8,18,161,20.1,50,7,0,7,63,0,0,11,22.4,2.0,0.1%
105,Jalen Tolbert (DAL),16,28,183,11.4,32,4,1,0,0,0,1,11,22.3,2.0,0.2%
106,JuJu Smith-Schuster (NE),24,38,159,6.6,20,1,1,0,0,0,0,9,21.9,2.4,21.0%
107,Jamison Crowder (WAS),15,18,151,10.1,26,1,1,0,0,0,0,12,21.1,1.8,0.2%
108,Hunter Renfrow (LV),22,29,209,9.5,31,3,0,0,0,0,0,12,20.9,1.7,2.5%
109,Kadarius Toney (KC),22,30,139,6.3,18,0,1,8,9,0,0,10,20.8,2.1,13.8%
110,Scott Miller (ATL),8,10,80,10.0,46,3,2,0,0,0,0,11,20.0,1.8,0.0%
111,DeVante Parker (NE),18,30,200,11.1,22,1,0,0,0,0,0,8,20.0,2.5,1.4%
112,KhaDarel Hodge (ATL),11,15,199,18.1,52,7,0,1,0,0,0,11,19.9,1.8,0.0%
113,Jauan Jennings (SF),14,26,196,14.0,31,4,0,0,0,0,0,10,19.6,2.0,0.8%
114,Allen Robinson II (PIT),23,35,185,8.0,31,2,0,0,0,0,0,11,18.5,1.7,1.2%
115,Derius Davis (LAC),12,13,44,3.7,11,0,0,9,74,0,0,11,17.8,1.6,0.3%
116,Deonte Harty (BUF),13,19,113,8.7,43,3,1,4,0,0,0,11,17.3,1.6,0.3%
117,Deven Thompkins (TB),14,21,78,5.6,26,1,1,5,50,0,1,11,16.8,1.5,0.3%
118,Van Jefferson (ATL),14,31,164,11.7,46,3,0,1,4,0,0,11,16.8,1.5,2.6%
119,Robbie Chosen (MIA),3,4,107,35.7,68,6,1,0,0,0,0,5,16.7,3.3,0.1%
120,Greg Dortch (ARI),10,19,105,10.5,31,2,1,0,0,0,0,11,16.5,1.5,1.2%
121,Andrei Iosivas (CIN),5,8,39,7.8,16,0,2,0,0,0,0,10,15.9,1.6,0.1%
122,River Cracraft (MIA),6,8,87,14.5,24,2,1,0,0,0,0,4,14.7,3.7,0.1%
123,Kyle Philips (TEN),13,19,166,12.8,29,4,0,0,0,0,1,7,14.6,2.1,0.6%
124,Byron Pringle (WAS),13,18,156,12.0,26,1,0,0,0,0,1,11,13.6,1.2,0.0%
125,Xavier Gipson (NYJ),7,11,82,11.7,24,1,0,4,34,0,2,11,13.6,1.2,0.2%
126,Treylon Burks (TEN),8,18,122,15.3,70,5,0,2,14,0,0,5,13.6,2.7,19.3%
127,Ray-Ray McCloud III (SF),9,11,113,12.6,41,4,0,2,23,0,0,11,13.6,1.2,1.1%
128,Terrace Marshall Jr. (CAR),18,32,134,7.4,14,0,0,0,0,0,0,8,13.4,1.7,0.3%
129,John Metchie III (HOU),11,13,129,11.7,22,1,0,0,0,0,0,10,12.9,1.3,0.9%
130,Chase Claypool (MIA),5,16,66,13.2,20,1,1,0,0,0,0,6,12.6,2.1,2.6%
131,Laviska Shenault Jr. (CAR),10,10,60,6.0,14,0,0,12,55,0,0,8,11.5,1.4,0.1%
132,Lil'Jordan Humphrey (DEN),6,8,53,8.8,14,0,1,0,0,0,0,11,11.3,1.0,0.0%
133,Ronnie Bell (SF),4,5,51,12.8,20,1,1,0,0,0,0,10,11.1,1.1,0.1%
134,A.T. Perry (NO),3,6,45,15.0,23,1,1,0,0,0,0,4,10.5,2.6,1.8%
135,Jalen Guyton (LAC),5,13,45,9.0,18,0,1,0,0,0,0,3,10.5,3.5,3.1%
136,Tyler Scott (CHI),10,20,81,8.1,15,0,0,6,44,0,1,11,10.5,1.0,0.1%
137,Parris Campbell (NYG),20,27,104,5.2,17,0,0,0,0,0,0,12,10.4,0.9,2.7%
138,Ben Skowronek (LAR),4,7,32,8.0,20,1,1,2,9,0,0,11,10.1,0.9,0.1%
139,Donovan Peoples-Jones (DET),8,19,97,12.1,29,1,0,0,0,0,0,9,9.7,1.1,2.9%
140,Lawrence Cager (NYG),3,4,27,9.0,10,0,1,0,0,0,0,6,8.7,1.5,0.0%
141,Xavier Hutchinson (HOU),2,4,43,21.5,34,2,0,4,44,0,0,10,8.7,0.9,0.0%
142,Samori Toure (GB),5,11,62,12.4,35,2,0,0,0,0,0,7,8.2,1.2,0.1%
143,Sterling Shepard (NYG),7,16,39,5.6,13,0,1,0,0,0,1,11,7.9,0.7,0.2%
144,Julio Jones (PHI),5,8,16,3.2,8,0,1,0,0,0,0,5,7.6,1.5,2.4%
145,Isaiah McKenzie (IND),11,14,82,7.5,30,2,0,3,14,0,1,11,7.6,0.7,0.3%
146,Ihmir Smith-Marsette (CAR),1,1,14,14.0,14,0,0,0,0,0,0,11,7.4,0.7,0.0%
147,Cedric Tillman (CLE),7,14,65,9.3,23,1,0,1,8,0,0,8,7.3,0.9,0.6%
148,Simi Fehoko (LAC),1,2,9,9.0,9,0,1,0,0,0,0,5,6.9,1.4,0.0%
149,Jamal Agnew (JAC),9,12,90,10.0,14,0,0,4,-2,0,1,8,6.8,0.9,0.2%
150,Charlie Jones (CIN),1,2,6,6.0,6,0,0,0,0,0,0,5,6.6,1.3,0.1%
151,Jalen Brooks (DAL),5,5,63,12.6,24,1,0,0,0,0,0,5,6.3,1.3,0.0%
